gender,math,daysabs
male,63,4
male,27,4
female,20,2
female,16,3
female,2,3
female,71,13
female,63,11
male,3,7
male,51,10
male,49,9
female,31,4
male,22,5
female,73,5
female,77,6
male,10,1
male,89,0
female,34,1
female,35,0
male,77,5
male,4,24
female,21,2
male,61,0
male,41,1
male,63,0
female,19,8
male,55,6
male,6,7
female,21,0
male,70,2
male,79,3
male,1,0
female,29,1
male,40,3
male,39,0
male,68,0
female,20,28
male,10,8
male,84,5
male,1,5
female,35,27
female,32,5
female,34,18
female,40,19
male,29,9
male,20,9
female,27,4
male,74,2
male,38,3
male,21,9
female,81,20
male,16,6
male,59,0
male,48,27
female,55,12
female,4,34
male,57,1
male,5,28
male,3,8
female,23,3
female,35,2
male,33,1
female,27,7
male,13,4
male,46,8
female,30,6
male,32,16
female,26,6
female,14,4
female,31,3
female,48,5
male,72,0
male,79,9
male,15,0
male,24,8
female,55,0
female,13,14
male,34,4
male,67,2
male,1,35
female,21,23
female,33,13
male,78,6
female,84,3
male,59,6
male,75,0
male,22,11
female,49,11
female,13,11
male,84,4
male,27,6
female,27,23
female,70,5
male,96,5
female,70,29
female,10,7
male,14,1
male,20,9
male,11,11
male,42,18
male,2,12
male,24,6
male,37,0
male,13,4
male,3,10
male,70,19
female,27,1
female,1,12
female,61,3
male,44,0
male,35,9
male,78,14
female,3,7
male,21,3
male,26,10
male,44,12
female,47,6
female,35,35
female,8,16
female,87,3
male,3,10
male,6,6
male,89,3
male,13,2
male,84,6
male,90,5
female,71,13
female,15,7
female,41,5
female,63,3
female,34,30
female,45,16
female,29,15
female,3,12
male,35,1
male,32,4
male,22,7
female,81,1
female,73,10
male,69,3
female,27,30
female,13,2
female,76,13
female,7,5
male,59,5
female,29,5
female,57,4
female,44,3
female,53,20
female,23,12
female,29,34
male,40,6
male,49,14
female,38,16
male,31,9
female,21,15
male,8,15
male,37,0
male,53,1
female,31,4
male,57,0
male,57,0
male,59,2
female,29,1
female,41,2
male,71,0
female,59,0
male,71,0
female,70,7
male,77,2
female,70,9
female,87,6
male,59,4
male,65,1
female,28,7
male,77,0
male,65,0
female,73,4
male,99,2
female,57,0
female,77,4
female,57,2
female,47,21
female,24,1
male,84,0
female,73,1
male,81,16
female,52,9
female,75,16
male,65,0
female,44,11
male,44,1
female,79,2
female,20,3
female,16,4
female,99,2
female,71,7
male,46,7
female,57,0
female,67,1
female,87,1
female,70,0
female,21,13
female,31,1
male,63,0
female,44,1
male,34,0
female,77,4
female,94,0
female,41,4
female,67,0
female,61,2
male,82,0
female,63,4
male,63,0
female,77,4
male,46,3
male,8,1
female,61,0
female,71,1
female,65,4
female,41,1
male,16,9
female,22,0
male,57,4
female,51,8
male,74,13
male,41,0
male,87,0
male,67,0
female,99,0
female,63,2
female,65,5
female,71,1
male,77,0
female,67,3
female,79,1
female,20,2
male,84,4
male,28,5
female,20,3
male,26,1
female,75,3
female,63,6
male,39,8
male,32,21
male,15,1
female,55,7
female,32,5
male,34,1
female,67,1
female,41,0
male,41,4
female,29,0
male,43,14
female,77,2
female,53,2
female,44,2
male,51,0
male,67,1
male,49,19
female,37,2
male,65,11
male,43,3
female,48,5
female,99,16
female,34,0
male,87,5
male,75,3
female,57,2
male,61,2
male,73,8
female,70,0
female,99,3
male,73,0
male,66,1
male,57,9
male,77,1
male,53,0
male,73,0
male,84,1
male,83,12
female,77,3
male,44,0
female,79,1
male,53,8
female,43,1
male,46,1
female,35,7
female,63,6
female,75,0
female,84,8
male,41,0
female,32,1
male,12,0
male,61,4
female,99,17
male,67,9
female,35,0
female,70,0
female,87,1
male,70,3
male,57,1
male,44,2
female,26,2
male,63,2
female,8,5
male,63,3
female,59,7
female,46,1
male,26,1
female,79,3
female,59,0
female,90,0
female,77,2
